127.0.0.1 - - [30/Sep/2021:09:07:53 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Sep/2021:09:07:54 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 200 3053
0:0:0:0:0:0:0:1 - - [30/Sep/2021:09:07:54 +0900] "GET /studyhtml5/ch06/3.theFitness2/images/logo.gif HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [30/Sep/2021:09:07:54 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 200 1312
0:0:0:0:0:0:0:1 - - [30/Sep/2021:09:07:54 +0900] "GET /studyhtml5/ch06/3.theFitness2/images/visual_img.png HTTP/1.1" 200 238080
0:0:0:0:0:0:0:1 - - [30/Sep/2021:09:07:54 +0900] "GET /studyhtml5/ch06/3.theFitness2/images/cont_img1.jpg HTTP/1.1" 200 132373
0:0:0:0:0:0:0:1 - - [30/Sep/2021:09:07:54 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [30/Sep/2021:09:07:54 +0900] "GET /studyhtml5/ch06/3.theFitness2/images/cont_img2.jpg HTTP/1.1" 200 81188
0:0:0:0:0:0:0:1 - - [30/Sep/2021:09:07:54 +0900] "GET /studyhtml5/ch06/3.theFitness2/images/side_banner.jpg HTTP/1.1" 200 32435
0:0:0:0:0:0:0:1 - - [30/Sep/2021:09:07:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Sep/2021:09:10:16 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:09:10:16 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [30/Sep/2021:09:10:16 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
