127.0.0.1 - - [14/Oct/2021:10:20:38 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Oct/2021:10:20:39 +0900] "GET /studyhtml5/5.onemile/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2021:10:20:39 +0900] "GET /studyhtml5/5.onemile/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2021:10:20:39 +0900] "GET /studyhtml5/5.onemile/script/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2021:10:20:42 +0900] "GET /studyhtml5/6.imigroup/index.html HTTP/1.1" 200 3219
0:0:0:0:0:0:0:1 - - [14/Oct/2021:10:20:42 +0900] "GET /studyhtml5/6.imigroup/css/style.css HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [14/Oct/2021:10:20:42 +0900] "GET /studyhtml5/6.imigroup/images/btn_menu.png HTTP/1.1" 200 1155
0:0:0:0:0:0:0:1 - - [14/Oct/2021:10:20:42 +0900] "GET /studyhtml5/6.imigroup/images/slogan.png HTTP/1.1" 200 53428
0:0:0:0:0:0:0:1 - - [14/Oct/2021:10:20:42 +0900] "GET /studyhtml5/6.imigroup/images/system_img2.jpg HTTP/1.1" 200 122291
0:0:0:0:0:0:0:1 - - [14/Oct/2021:10:20:42 +0900] "GET /studyhtml5/6.imigroup/images/system_img1.jpg HTTP/1.1" 200 149974
0:0:0:0:0:0:0:1 - - [14/Oct/2021:10:20:42 +0900] "GET /studyhtml5/6.imigroup/imgaes/logo.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [14/Oct/2021:10:20:42 +0900] "GET /studyhtml5/6.imigroup/images/system_img3.jpg HTTP/1.1" 200 119467
0:0:0:0:0:0:0:1 - - [14/Oct/2021:10:20:42 +0900] "GET /studyhtml5/6.imigroup/images/product.png HTTP/1.1" 200 330746
0:0:0:0:0:0:0:1 - - [14/Oct/2021:10:20:42 +0900] "GET /studyhtml5/6.imigroup/images/company.png HTTP/1.1" 200 290272
0:0:0:0:0:0:0:1 - - [14/Oct/2021:10:20:42 +0900] "GET /studyhtml5/6.imigroup/images/btn_top HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [14/Oct/2021:10:20:42 +0900] "GET /studyhtml5/6.imigroup/images/footer_logo.png HTTP/1.1" 200 1825
0:0:0:0:0:0:0:1 - - [14/Oct/2021:10:20:42 +0900] "GET /studyhtml5/6.imigroup/images/favicon.png HTTP/1.1" 200 2279
0:0:0:0:0:0:0:1 - - [14/Oct/2021:10:21:17 +0900] "GET /studyhtml5/6.imigroup/index.html HTTP/1.1" 200 3219
0:0:0:0:0:0:0:1 - - [14/Oct/2021:10:21:17 +0900] "GET /studyhtml5/6.imigroup/images/logo.png HTTP/1.1" 200 6854
0:0:0:0:0:0:0:1 - - [14/Oct/2021:10:21:17 +0900] "GET /studyhtml5/6.imigroup/images/btn_top HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [14/Oct/2021:10:21:17 +0900] "GET /studyhtml5/6.imigroup/images/favicon.png HTTP/1.1" 200 2279
0:0:0:0:0:0:0:1 - - [14/Oct/2021:10:22:02 +0900] "GET /studyhtml5/6.imigroup/index.html HTTP/1.1" 200 3223
0:0:0:0:0:0:0:1 - - [14/Oct/2021:10:22:02 +0900] "GET /studyhtml5/6.imigroup/images/btn_top.gif HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [14/Oct/2021:10:22:02 +0900] "GET /studyhtml5/6.imigroup/images/favicon.png HTTP/1.1" 200 2279
0:0:0:0:0:0:0:1 - - [14/Oct/2021:10:23:58 +0900] "GET /studyhtml5/6.imigroup/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2021:10:24:28 +0900] "GET /studyhtml5/6.imigroup/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2021:10:24:52 +0900] "GET /studyhtml5/6.imigroup/index.html HTTP/1.1" 200 3223
0:0:0:0:0:0:0:1 - - [14/Oct/2021:10:26:17 +0900] "GET /studyhtml5/6.imigroup/index.html HTTP/1.1" 200 3223
