127.0.0.1 - - [24/Sep/2021:09:40:12 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Sep/2021:09:40:13 +0900] "GET /studyhtml5/ch06/1.pepci/index.html HTTP/1.1" 200 3791
0:0:0:0:0:0:0:1 - - [24/Sep/2021:09:40:13 +0900] "GET /studyhtml5/ch06/1.pepci/images/movie1.jpg HTTP/1.1" 200 109007
0:0:0:0:0:0:0:1 - - [24/Sep/2021:09:40:13 +0900] "GET /studyhtml5/ch06/1.pepci/images/visual.png HTTP/1.1" 200 550523
0:0:0:0:0:0:0:1 - - [24/Sep/2021:09:40:13 +0900] "GET /studyhtml5/ch06/1.pepci/images/movie2.jpg HTTP/1.1" 200 102135
0:0:0:0:0:0:0:1 - - [24/Sep/2021:09:40:13 +0900] "GET /studyhtml5/ch06/1.pepci/images/logo.png HTTP/1.1" 200 4876
0:0:0:0:0:0:0:1 - - [24/Sep/2021:09:40:13 +0900] "GET /studyhtml5/ch06/1.pepci/images/naver_icon.png HTTP/1.1" 200 1984
0:0:0:0:0:0:0:1 - - [24/Sep/2021:09:40:13 +0900] "GET /studyhtml5/ch06/1.pepci/images/yellow_icon.png HTTP/1.1" 200 1271
0:0:0:0:0:0:0:1 - - [24/Sep/2021:09:40:13 +0900] "GET /studyhtml5/ch06/1.pepci/images/kakao_icon.png HTTP/1.1" 200 1875
0:0:0:0:0:0:0:1 - - [24/Sep/2021:09:40:13 +0900] "GET /studyhtml5/ch06/1.pepci/images/insta_icon.png HTTP/1.1" 200 1614
0:0:0:0:0:0:0:1 - - [24/Sep/2021:09:40:13 +0900] "GET /studyhtml5/ch06/1.pepci/css/style.css HTTP/1.1" 200 878
0:0:0:0:0:0:0:1 - - [24/Sep/2021:09:40:13 +0900] "GET /studyhtml5/ch06/1.pepci/images/android.png HTTP/1.1" 200 1900
0:0:0:0:0:0:0:1 - - [24/Sep/2021:09:43:48 +0900] "GET /studyhtml5/ch06/1.pepci/index.html HTTP/1.1" 200 3801
0:0:0:0:0:0:0:1 - - [24/Sep/2021:09:43:48 +0900] "GET /studyhtml5/ch06/1.pepci/images/android.png HTTP/1.1" 200 1900
0:0:0:0:0:0:0:1 - - [24/Sep/2021:09:43:49 +0900] "GET /studyhtml5/ch06/1.pepci/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2021:09:43:49 +0900] "GET /studyhtml5/ch06/1.pepci/images/android.png HTTP/1.1" 200 1900
0:0:0:0:0:0:0:1 - - [24/Sep/2021:09:43:50 +0900] "GET /studyhtml5/ch06/1.pepci/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2021:09:43:50 +0900] "GET /studyhtml5/ch06/1.pepci/images/android.png HTTP/1.1" 200 1900
0:0:0:0:0:0:0:1 - - [24/Sep/2021:09:43:55 +0900] "GET /studyhtml5/ch06/1.pepci/index.html HTTP/1.1" 200 3801
0:0:0:0:0:0:0:1 - - [24/Sep/2021:09:43:55 +0900] "GET /studyhtml5/ch06/1.pepci/css/style.css HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [24/Sep/2021:09:43:55 +0900] "GET /studyhtml5/ch06/1.pepci/images/logo.png HTTP/1.1" 200 4876
0:0:0:0:0:0:0:1 - - [24/Sep/2021:09:43:55 +0900] "GET /studyhtml5/ch06/1.pepci/images/visual.png HTTP/1.1" 200 550523
0:0:0:0:0:0:0:1 - - [24/Sep/2021:09:43:55 +0900] "GET /studyhtml5/ch06/1.pepci/images/movie2.jpg HTTP/1.1" 200 102135
0:0:0:0:0:0:0:1 - - [24/Sep/2021:09:43:55 +0900] "GET /studyhtml5/ch06/1.pepci/images/movie1.jpg HTTP/1.1" 200 109007
0:0:0:0:0:0:0:1 - - [24/Sep/2021:09:43:55 +0900] "GET /studyhtml5/ch06/1.pepci/images/kakao_icon.png HTTP/1.1" 200 1875
0:0:0:0:0:0:0:1 - - [24/Sep/2021:09:43:55 +0900] "GET /studyhtml5/ch06/1.pepci/images/naver_icon.png HTTP/1.1" 200 1984
0:0:0:0:0:0:0:1 - - [24/Sep/2021:09:43:55 +0900] "GET /studyhtml5/ch06/1.pepci/images/insta_icon.png HTTP/1.1" 200 1614
0:0:0:0:0:0:0:1 - - [24/Sep/2021:09:43:55 +0900] "GET /studyhtml5/ch06/1.pepci/images/yellow_icon.png HTTP/1.1" 200 1271
0:0:0:0:0:0:0:1 - - [24/Sep/2021:09:43:55 +0900] "GET /studyhtml5/ch06/1.pepci/images/android.png HTTP/1.1" 200 1900
