127.0.0.1 - - [26/Sep/2021:17:41:53 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:41:54 +0900] "GET /studyhtml5/ch06/3.pepci/index.html HTTP/1.1" 200 2116
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:41:54 +0900] "GET /studyhtml5/ch06/3.pepci/css/style.css HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:41:54 +0900] "GET /studyhtml5/ch06/3.pepci/images/ HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:41:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:42:10 +0900] "GET /studyhtml5/ch06/3.pepci/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:42:10 +0900] "GET /studyhtml5/ch06/3.pepci/css/style.css HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:42:10 +0900] "GET /studyhtml5/ch06/3.pepci/images/ HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:42:10 +0900] "GET /studyhtml5/ch06/3.pepci/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:42:10 +0900] "GET /studyhtml5/ch06/3.pepci/images/ HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:42:10 +0900] "GET /studyhtml5/ch06/3.pepci/css/style.css HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:42:14 +0900] "GET /studyhtml5/ch06/3.pepci/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:42:14 +0900] "GET /studyhtml5/ch06/3.pepci/css/style.css HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:42:14 +0900] "GET /studyhtml5/ch06/3.pepci/images/ HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:42:14 +0900] "GET /studyhtml5/ch06/3.pepci/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:42:14 +0900] "GET /studyhtml5/ch06/3.pepci/css/style.css HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:42:14 +0900] "GET /studyhtml5/ch06/3.pepci/images/ HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:42:15 +0900] "GET /studyhtml5/ch06/3.pepci/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:42:15 +0900] "GET /studyhtml5/ch06/3.pepci/css/style.css HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:42:15 +0900] "GET /studyhtml5/ch06/3.pepci/images/ HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:46:28 +0900] "GET /studyhtml5/ch06/3.pepci/index.html HTTP/1.1" 200 2108
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:46:28 +0900] "GET /studyhtml5/ch06/3.pepci/css/style.css HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:46:28 +0900] "GET /studyhtml5/ch06/3.pepci/images/ HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:58:12 +0900] "GET /studyhtml5/ch06/3.pepci/index.html HTTP/1.1" 200 3551
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:58:12 +0900] "GET /studyhtml5/ch06/3.pepci/css/style.css HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:58:12 +0900] "GET /studyhtml5/ch06/3.pepci/images/loge.png HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:58:12 +0900] "GET /studyhtml5/ch06/3.pepci/images/movie1.png HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:58:12 +0900] "GET /studyhtml5/ch06/3.pepci/images/movie2.png HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:58:12 +0900] "GET /studyhtml5/ch06/3.pepci/images/kakao_icon.png HTTP/1.1" 200 1875
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:58:12 +0900] "GET /studyhtml5/ch06/3.pepci/images/visual.png HTTP/1.1" 200 550523
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:58:12 +0900] "GET /studyhtml5/ch06/3.pepci/images/naver_icon.png HTTP/1.1" 200 1984
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:58:12 +0900] "GET /studyhtml5/ch06/3.pepci/images/yellow_icon.png HTTP/1.1" 200 1271
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:58:12 +0900] "GET /studyhtml5/ch06/3.pepci/images/insta_icon.png HTTP/1.1" 200 1614
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:58:12 +0900] "GET /studyhtml5/ch06/3.pepci/images/favicon-32x32.png HTTP/1.1" 200 1943
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:58:12 +0900] "GET /studyhtml5/ch06/3.pepci/images/manifest.json HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:58:28 +0900] "GET /studyhtml5/ch06/3.pepci/index.html HTTP/1.1" 200 3551
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:58:28 +0900] "GET /studyhtml5/ch06/3.pepci/css/style.css HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:58:28 +0900] "GET /studyhtml5/ch06/3.pepci/images/log0.png HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:58:28 +0900] "GET /studyhtml5/ch06/3.pepci/images/movie2.png HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:58:28 +0900] "GET /studyhtml5/ch06/3.pepci/images/movie1.png HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [26/Sep/2021:17:58:28 +0900] "GET /studyhtml5/ch06/3.pepci/images/favicon-32x32.png HTTP/1.1" 200 1943
0:0:0:0:0:0:0:1 - - [26/Sep/2021:18:00:16 +0900] "GET /studyhtml5/ch06/3.pepci/index.html HTTP/1.1" 200 3589
0:0:0:0:0:0:0:1 - - [26/Sep/2021:18:00:16 +0900] "GET /studyhtml5/ch06/3.pepci/css/style.css HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [26/Sep/2021:18:00:16 +0900] "GET /studyhtml5/ch06/3.pepci/images/log0.png HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [26/Sep/2021:18:00:16 +0900] "GET /studyhtml5/ch06/3.pepci/images/movie1.jpg HTTP/1.1" 200 109007
0:0:0:0:0:0:0:1 - - [26/Sep/2021:18:00:16 +0900] "GET /studyhtml5/ch06/3.pepci/images/movie2.jpg HTTP/1.1" 200 102135
0:0:0:0:0:0:0:1 - - [26/Sep/2021:18:00:16 +0900] "GET /studyhtml5/ch06/3.pepci/images/favicon-32x32.png HTTP/1.1" 200 1943
0:0:0:0:0:0:0:1 - - [26/Sep/2021:18:01:13 +0900] "GET /studyhtml5/ch06/3.pepci/index.html HTTP/1.1" 200 3828
