127.0.0.1 - - [12/Oct/2021:09:31:49 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:31:49 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:31:49 +0900] "GET /studyhtml5/4.widmice/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:10 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:10 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:22 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 200 6273
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:22 +0900] "GET /studyhtml5/4.widmice/css/style.css HTTP/1.1" 200 9574
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:22 +0900] "GET /studyhtml5/4.widmice/images/logo.png HTTP/1.1" 200 2354
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:22 +0900] "GET /studyhtml5/4.widmice/images/topicon1.png HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:22 +0900] "GET /studyhtml5/4.widmice/images/topicon2.png HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:22 +0900] "GET /studyhtml5/4.widmice/images/visual_img.png HTTP/1.1" 200 222763
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:22 +0900] "GET /studyhtml5/4.widmice/images/coleftbg.jpg HTTP/1.1" 200 532234
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:22 +0900] "GET /studyhtml5/4.widmice/images/corightbg.jpg HTTP/1.1" 200 18033
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:22 +0900] "GET /studyhtml5/4.widmice/images/busimg1.jpg HTTP/1.1" 200 129647
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:22 +0900] "GET /studyhtml5/4.widmice/images/busimg2.jpg HTTP/1.1" 200 194724
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:22 +0900] "GET /studyhtml5/4.widmice/images/busimg3.jpg HTTP/1.1" 200 161334
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:22 +0900] "GET /studyhtml5/4.widmice/images/btn_top.png HTTP/1.1" 200 1066
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:22 +0900] "GET /studyhtml5/4.widmice/images/co_img.png HTTP/1.1" 200 46995
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:22 +0900] "GET /studyhtml5/4.widmice/images/visual_bg.jpg HTTP/1.1" 200 844942
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:22 +0900] "GET /studyhtml5/4.widmice/images/footer_logo.png HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:22 +0900] "GET /studyhtml5/4.widmice/images/bus_bg.jpg HTTP/1.1" 200 273269
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:22 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:29 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 200 6273
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:29 +0900] "GET /studyhtml5/4.widmice/css/style.css HTTP/1.1" 200 9574
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:29 +0900] "GET /studyhtml5/4.widmice/images/logo.png HTTP/1.1" 200 2354
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:29 +0900] "GET /studyhtml5/4.widmice/images/topicon1.png HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:29 +0900] "GET /studyhtml5/4.widmice/images/topicon2.png HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:29 +0900] "GET /studyhtml5/4.widmice/images/visual_img.png HTTP/1.1" 200 222763
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:29 +0900] "GET /studyhtml5/4.widmice/images/coleftbg.jpg HTTP/1.1" 200 532234
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:29 +0900] "GET /studyhtml5/4.widmice/images/corightbg.jpg HTTP/1.1" 200 18033
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:29 +0900] "GET /studyhtml5/4.widmice/images/co_img.png HTTP/1.1" 200 46995
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:29 +0900] "GET /studyhtml5/4.widmice/images/busimg1.jpg HTTP/1.1" 200 129647
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:29 +0900] "GET /studyhtml5/4.widmice/images/busimg2.jpg HTTP/1.1" 200 194724
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:29 +0900] "GET /studyhtml5/4.widmice/images/busimg3.jpg HTTP/1.1" 200 161334
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:29 +0900] "GET /studyhtml5/4.widmice/images/btn_top.png HTTP/1.1" 200 1066
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:29 +0900] "GET /studyhtml5/4.widmice/images/footer_logo.png HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:29 +0900] "GET /studyhtml5/4.widmice/images/bus_bg.jpg HTTP/1.1" 200 273269
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:29 +0900] "GET /studyhtml5/4.widmice/images/visual_bg.jpg HTTP/1.1" 200 844942
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:29 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:44 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:44 +0900] "GET /studyhtml5/4.widmice/css/style.css HTTP/1.1" 200 9575
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:34:45 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:36:23 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 200 6276
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:36:23 +0900] "GET /studyhtml5/4.widmice/css/style.css HTTP/1.1" 200 9597
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:36:23 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:36:32 +0900] "GET /studyhtml5/4.widmice/images/visual_bg.jpg HTTP/1.1" 200 844942
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:40:06 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 200 6249
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:40:06 +0900] "GET /studyhtml5/4.widmice/css/style.css HTTP/1.1" 200 9636
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:40:06 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:40:09 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:40:09 +0900] "GET /studyhtml5/4.widmice/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:40:09 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:40:48 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 200 6264
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:40:48 +0900] "GET /studyhtml5/4.widmice/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:41:16 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 200 6264
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:41:16 +0900] "GET /studyhtml5/4.widmice/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2021:09:41:16 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
