127.0.0.1 - - [04/Oct/2021:09:21:18 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Oct/2021:09:21:18 +0900] "GET /studyhtml5/ch06/3.theFitness/enroll.html HTTP/1.1" 200 4608
0:0:0:0:0:0:0:1 - - [04/Oct/2021:09:21:18 +0900] "GET /studyhtml5/ch06/3.theFitness/css/style.css?ver=1.1 HTTP/1.1" 200 5325
0:0:0:0:0:0:0:1 - - [04/Oct/2021:09:21:18 +0900] "GET /studyhtml5/ch06/3.theFitness/images/visual_img.png HTTP/1.1" 200 238080
0:0:0:0:0:0:0:1 - - [04/Oct/2021:09:21:18 +0900] "GET /studyhtml5/ch06/3.theFitness/images/Rectangle1.png HTTP/1.1" 200 95757
0:0:0:0:0:0:0:1 - - [04/Oct/2021:09:21:18 +0900] "GET /studyhtml5/ch06/3.theFitness/images/logo.gif HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [04/Oct/2021:09:21:18 +0900] "GET /studyhtml5/ch06/3.theFitness/images/hover-effect.png%20alt= HTTP/1.1" 404 882
0:0:0:0:0:0:0:1 - - [04/Oct/2021:09:21:18 +0900] "GET /studyhtml5/ch06/3.theFitness/images/Rectangle2.png HTTP/1.1" 200 115087
0:0:0:0:0:0:0:1 - - [04/Oct/2021:09:21:18 +0900] "GET /studyhtml5/ch06/3.theFitness/script/main.js HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [04/Oct/2021:09:21:18 +0900] "GET /studyhtml5/ch06/3.theFitness/images/side_banner.jpg HTTP/1.1" 200 32435
0:0:0:0:0:0:0:1 - - [04/Oct/2021:09:21:18 +0900] "GET /studyhtml5/ch06/3.theFitness/images/Rectangle3.png HTTP/1.1" 200 105085
0:0:0:0:0:0:0:1 - - [04/Oct/2021:09:21:18 +0900] "GET /studyhtml5/ch06/3.theFitness/images/dotted.jpg HTTP/1.1" 200 507108
0:0:0:0:0:0:0:1 - - [04/Oct/2021:09:21:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Oct/2021:09:22:03 +0900] "GET /studyhtml5/ch06/3.theFitness/enroll.html HTTP/1.1" 200 4611
0:0:0:0:0:0:0:1 - - [04/Oct/2021:09:22:03 +0900] "GET /studyhtml5/ch06/3.theFitness/images/hover-effect.png HTTP/1.1" 200 2971
0:0:0:0:0:0:0:1 - - [04/Oct/2021:09:22:04 +0900] "GET /studyhtml5/ch06/3.theFitness/script/main.js HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [04/Oct/2021:09:46:17 +0900] "GET /studyhtml5/ch06/3.theFitness/enroll.html HTTP/1.1" 200 5279
0:0:0:0:0:0:0:1 - - [04/Oct/2021:09:46:17 +0900] "GET /studyhtml5/ch06/3.theFitness/images/Rectangle1.png HTTP/1.1" 304 -
