127.0.0.1 - - [20/Oct/2021:19:20:35 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Oct/2021:19:20:36 +0900] "GET /studyhtml5/6.imigroup/index.html HTTP/1.1" 200 4758
0:0:0:0:0:0:0:1 - - [20/Oct/2021:19:20:36 +0900] "GET /studyhtml5/6.imigroup/css/style.css HTTP/1.1" 200 4719
0:0:0:0:0:0:0:1 - - [20/Oct/2021:19:20:36 +0900] "GET /studyhtml5/6.imigroup/script/main.js HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [20/Oct/2021:19:20:36 +0900] "GET /studyhtml5/6.imigroup/images/slogan.png HTTP/1.1" 200 53428
0:0:0:0:0:0:0:1 - - [20/Oct/2021:19:20:36 +0900] "GET /studyhtml5/6.imigroup/images/gnb_logo.png HTTP/1.1" 200 3409
0:0:0:0:0:0:0:1 - - [20/Oct/2021:19:20:36 +0900] "GET /studyhtml5/6.imigroup/images/btn_menu.png HTTP/1.1" 200 1155
0:0:0:0:0:0:0:1 - - [20/Oct/2021:19:20:36 +0900] "GET /studyhtml5/6.imigroup/images/btn_close.png HTTP/1.1" 200 2045
0:0:0:0:0:0:0:1 - - [20/Oct/2021:19:20:36 +0900] "GET /studyhtml5/6.imigroup/images/system_img1.jpg HTTP/1.1" 200 149974
0:0:0:0:0:0:0:1 - - [20/Oct/2021:19:20:36 +0900] "GET /studyhtml5/6.imigroup/images/logo.png HTTP/1.1" 200 6854
0:0:0:0:0:0:0:1 - - [20/Oct/2021:19:20:36 +0900] "GET /studyhtml5/6.imigroup/images/system_img2.jpg HTTP/1.1" 200 122291
0:0:0:0:0:0:0:1 - - [20/Oct/2021:19:20:36 +0900] "GET /studyhtml5/6.imigroup/images/system_over2.png HTTP/1.1" 200 2830
0:0:0:0:0:0:0:1 - - [20/Oct/2021:19:20:36 +0900] "GET /studyhtml5/6.imigroup/images/system_over1.png HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [20/Oct/2021:19:20:36 +0900] "GET /studyhtml5/6.imigroup/images/system_img3.jpg HTTP/1.1" 200 119467
0:0:0:0:0:0:0:1 - - [20/Oct/2021:19:20:36 +0900] "GET /studyhtml5/6.imigroup/images/system_over3.png HTTP/1.1" 200 3164
0:0:0:0:0:0:0:1 - - [20/Oct/2021:19:20:36 +0900] "GET /studyhtml5/6.imigroup/images/product.png HTTP/1.1" 200 330746
0:0:0:0:0:0:0:1 - - [20/Oct/2021:19:20:36 +0900] "GET /studyhtml5/6.imigroup/images/company.png HTTP/1.1" 200 290272
0:0:0:0:0:0:0:1 - - [20/Oct/2021:19:20:36 +0900] "GET /studyhtml5/6.imigroup/images/btn_top.gif HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [20/Oct/2021:19:20:36 +0900] "GET /studyhtml5/6.imigroup/images/footer_logo.png HTTP/1.1" 200 1825
0:0:0:0:0:0:0:1 - - [20/Oct/2021:19:20:36 +0900] "GET /studyhtml5/6.imigroup/images/visual_bg.jpg HTTP/1.1" 200 1162029
0:0:0:0:0:0:0:1 - - [20/Oct/2021:19:20:36 +0900] "GET /studyhtml5/6.imigroup/images/system_bg.jpg HTTP/1.1" 200 443457
0:0:0:0:0:0:0:1 - - [20/Oct/2021:19:20:36 +0900] "GET /studyhtml5/6.imigroup/images/product_bg.gif HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [20/Oct/2021:19:20:36 +0900] "GET /studyhtml5/6.imigroup/images/company_bg.jpg HTTP/1.1" 200 272771
0:0:0:0:0:0:0:1 - - [20/Oct/2021:19:20:36 +0900] "GET /studyhtml5/6.imigroup/images/icon_call.png HTTP/1.1" 200 679
0:0:0:0:0:0:0:1 - - [20/Oct/2021:19:20:36 +0900] "GET /studyhtml5/6.imigroup/images/favicon.png HTTP/1.1" 200 2279
