0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:42:55 +0900] "GET /studyhtml5/4.widmice/css/style.css HTTP/1.1" 200 2730
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:42:55 +0900] "GET /studyhtml5/4.widmice/images/logo.png HTTP/1.1" 200 2354
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:42:55 +0900] "GET /studyhtml5/4.widmice/images/busimg1.jpg HTTP/1.1" 200 129647
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:42:55 +0900] "GET /studyhtml5/4.widmice/images/topicon2.png HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:42:55 +0900] "GET /studyhtml5/4.widmice/images/visual_img.png HTTP/1.1" 200 222763
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:42:55 +0900] "GET /studyhtml5/4.widmice/images/topicon1.png HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:42:55 +0900] "GET /studyhtml5/4.widmice/images/busimg2.jpg HTTP/1.1" 200 194724
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:42:55 +0900] "GET /studyhtml5/4.widmice/images/busimg3.jpg HTTP/1.1" 200 161334
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:42:55 +0900] "GET /studyhtml5/4.widmice/images/btn_top.png HTTP/1.1" 200 1066
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:42:55 +0900] "GET /studyhtml5/4.widmice/images/footer_logo.png HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:42:55 +0900] "GET /studyhtml5/4.widmice/images/visual_bg.jpg HTTP/1.1" 200 844942
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:42:55 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:43:54 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:43:54 +0900] "GET /studyhtml5/4.widmice/css/style.css HTTP/1.1" 200 2768
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:43:54 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:44:00 +0900] "GET /studyhtml5/4.widmice/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:47:31 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 200 4804
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:47:31 +0900] "GET /studyhtml5/4.widmice/images/coleftbg.jpg HTTP/1.1" 200 532234
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:47:31 +0900] "GET /studyhtml5/4.widmice/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:47:31 +0900] "GET /studyhtml5/4.widmice/images/corightbg.jpg HTTP/1.1" 200 18033
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:47:31 +0900] "GET /studyhtml5/4.widmice/images/co_img.png HTTP/1.1" 200 46995
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:47:31 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:48:24 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:48:24 +0900] "GET /studyhtml5/4.widmice/css/style.css HTTP/1.1" 200 2852
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:48:24 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:49:51 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:49:51 +0900] "GET /studyhtml5/4.widmice/css/style.css HTTP/1.1" 200 2911
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:49:51 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:50:42 +0900] "GET /studyhtml5/4.widmice/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:52:03 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:52:03 +0900] "GET /studyhtml5/4.widmice/css/style.css HTTP/1.1" 200 2924
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:52:03 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:53:02 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:53:02 +0900] "GET /studyhtml5/4.widmice/css/style.css HTTP/1.1" 200 2947
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:53:02 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:53:54 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:53:54 +0900] "GET /studyhtml5/4.widmice/css/style.css HTTP/1.1" 200 3007
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:53:54 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:54:09 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:54:09 +0900] "GET /studyhtml5/4.widmice/css/style.css HTTP/1.1" 200 3012
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:54:09 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:54:29 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:54:29 +0900] "GET /studyhtml5/4.widmice/css/style.css HTTP/1.1" 200 3013
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:54:29 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:54:56 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:54:56 +0900] "GET /studyhtml5/4.widmice/css/style.css HTTP/1.1" 200 3025
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:54:56 +0900] "GET /studyhtml5/4.widmice/images/favicon.png HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:56:40 +0900] "GET /studyhtml5/4.widmice/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2021:09:56:40 +0900] "GET /studyhtml5/4.widmice/css/style.css HTTP/1.1" 200 3139
