127.0.0.1 - - [13/Oct/2021:09:32:11 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Oct/2021:09:32:11 +0900] "GET /studyhtml5/5.onemile/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2021:09:32:12 +0900] "GET /studyhtml5/5.onemile/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2021:09:34:05 +0900] "GET /studyhtml5/5.onemile/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2021:09:34:05 +0900] "GET /studyhtml5/5.onemile/images/favicon.png HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [13/Oct/2021:09:34:06 +0900] "GET /studyhtml5/5.onemile/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2021:09:34:06 +0900] "GET /studyhtml5/5.onemile/images/favicon.png HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [13/Oct/2021:09:34:07 +0900] "GET /studyhtml5/5.onemile/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2021:09:34:07 +0900] "GET /studyhtml5/5.onemile/images/favicon.png HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [13/Oct/2021:09:34:30 +0900] "GET /studyhtml5/5.onemile/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2021:09:34:30 +0900] "GET /studyhtml5/5.onemile/images/favicon.png HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [13/Oct/2021:09:34:31 +0900] "GET /studyhtml5/5.onemile/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2021:09:34:31 +0900] "GET /studyhtml5/5.onemile/images/favicon.png HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [13/Oct/2021:09:34:31 +0900] "GET /studyhtml5/5.onemile/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2021:09:34:31 +0900] "GET /studyhtml5/5.onemile/images/favicon.png HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [13/Oct/2021:09:34:31 +0900] "GET /studyhtml5/5.onemile/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2021:09:34:31 +0900] "GET /studyhtml5/5.onemile/images/favicon.png HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [13/Oct/2021:09:34:34 +0900] "GET /studyhtml5/5.onemile/index.html HTTP/1.1" 200 3164
0:0:0:0:0:0:0:1 - - [13/Oct/2021:09:34:34 +0900] "GET /studyhtml5/5.onemile/images/favicon.png HTTP/1.1" 200 1222
